_id,tipo,estado,canal_entrada,fecha_entrada,fecha_contestacion,consejeria,unidad_descripcion,tema,subtema
1,Sugerencia,Contestada al Ciudadano,INTERNET,2024-01-01T00:00:00,2024-01-26T00:00:00,"Consejería de Cultura, Turismo y Deporte",Dirección General de Patrimonio Cultural,CULTURA,BIBLIOTECAS
2,Queja,Contestada al Ciudadano,INTERNET,2024-01-01T00:00:00,2024-02-02T00:00:00,"Consejería de Vivienda, Transportes e Infraestructuras",Agencia de Vivienda Social,VIVIENDA,VIVIENDAS DEL IVIMA
3,Queja,Contestada al Ciudadano,INTERNET,2024-01-01T00:00:00,2024-05-14T00:00:00,"Consejería de Medio Ambiente, Agricultura e Interior",DG DE BIODIVERSIDAD Y RECURSOS NATURALES,MEDIO AMBIENTE,ENTORNO NATURAL
4,Queja,Enviada a Otra Administración,INTERNET,2024-01-02T00:00:00,,"Consejería de Economía, Hacienda y Empleo",,EMPLEO,OTROS
5,Queja,Contestada al Ciudadano,INTERNET,2024-01-02T00:00:00,2024-01-17T00:00:00,"Consejería de Educación, Universidades, Ciencia y Portavocía","Dirección General de Educación Concertada, Becas y Ayudas al Estudio",EDUCACIÓN,"BECAS, AYUDAS Y SUBVENCIONES"
6,Queja,Contestada al Ciudadano,INTERNET,2024-01-02T00:00:00,2024-01-26T00:00:00,"Consejería de Vivienda, Transportes e Infraestructuras",Agencia de Vivienda Social,VIVIENDA,OTROS
7,Queja,Recepcionada por Unidad,INTERNET,2024-01-02T00:00:00,,"Consejería de Vivienda, Transportes e Infraestructuras",Agencia de Vivienda Social,VIVIENDA,VIVIENDAS DEL IVIMA
8,Queja,Contestada al Ciudadano,INTERNET,2024-01-02T00:00:00,2024-05-30T00:00:00,"Consejería de Vivienda, Transportes e Infraestructuras",Dirección General de Carreteras,TRANSPORTES,CARRETERAS
9,Queja,Contestada al Ciudadano,INTERNET,2024-01-02T00:00:00,2024-01-10T00:00:00,"Consejería de Economía, Hacienda y Empleo",,OTROS,OTROS
10,Queja,Contestada al Ciudadano,INTERNET,2024-01-02T00:00:00,2024-01-26T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",DG de Atención al Mayor y a la Dependencia,POLÍTICAS SOCIALES,MAYORES
11,Sugerencia,Contestada al Ciudadano,INTERNET,2024-01-02T00:00:00,2024-01-17T00:00:00,Agencia para la Administración Digital de la Comunidad de Madrid,,OTROS,BOLETIN OFICIAL DE LA COMUNIDAD DE MADRID
12,Queja,Enviada a Otra Administración,INTERNET,2024-01-02T00:00:00,,,,OTROS,OTROS
13,Agradecimiento,Cancelada,PRESENCIAL,2024-01-02T00:00:00,,"Consejería de Presidencia, Justicia y Administración Local",Subdirección General de Atención al Ciudadano,ATENCIÓN AL CIUDADANO,OFICINAS DE ATENCIÓN AL CIUDADANO DE LA COMUNIDAD DE MADRID
14,Queja,Contestada al Ciudadano,INTERNET,2024-01-02T00:00:00,2024-01-09T00:00:00,"Consejería de Vivienda, Transportes e Infraestructuras",Dirección General de Vivienda y Rehabilitación,VIVIENDA,OTROS
15,Queja,Contestada al Ciudadano,INTERNET,2024-01-02T00:00:00,2024-01-10T00:00:00,"Consejería de Presidencia, Justicia y Administración Local",,ATENCIÓN AL CIUDADANO,OTROS
16,Queja,Contestada al Ciudadano,INTERNET,2024-01-02T00:00:00,2024-01-08T00:00:00,"Consejería de Presidencia, Justicia y Administración Local",Dirección General de Justicia,JUSTICIA,REGISTROS CIVILES
17,Queja,Contestada al Ciudadano,INTERNET,2024-01-02T00:00:00,2024-02-02T00:00:00,"Consejería de Educación, Universidades, Ciencia y Portavocía",Dirección del Área Territorial de Madrid-Sur,EDUCACIÓN,SECUNDARIA OBLIGATORIA Y BACHILLERATO
18,Queja,Contestada al Ciudadano,INTERNET,2024-01-02T00:00:00,2024-02-01T00:00:00,Consejería de Sanidad,"Dirección General de Humanización, Atención y Seguridad al Paciente",SANIDAD,CITA SANITARIA
19,Queja,Contestada al Ciudadano,LLAMADAS 012,2024-01-02T00:00:00,2024-01-22T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",Dirección General de Servicios Sociales e Integración,POLÍTICAS SOCIALES,PRESTACIONES SOCIALES Y PENSIONES NO CONTRIBUTIVAS
20,Queja,Contestada al Ciudadano,INTERNET,2024-01-02T00:00:00,2024-02-13T00:00:00,Consejería de Sanidad,"Dirección General de Humanización, Atención y Seguridad al Paciente",SANIDAD,SALUD PÚBLICA
21,Queja,Contestada al Ciudadano,PRESENCIAL,2024-01-02T00:00:00,2024-03-05T00:00:00,"Consejería de Familia, Juventud y Asuntos Sociales",DG de Atención al Mayor y a la Dependencia,POLÍTICAS SOCIALES,DEPENDENCIA
